index,id,worker_id,accession,version,version_number,genbank_accession,genbank_version,taxonomy_id,name,refseq_category,bioproject,biosample,wgs_master,isolate,version_status,assembly_level,release_type,release_date,assembly_name,submitter,ftp_path,superkingdom,phylum,class,order,family,genus,species,strain,stats,meta,biosample_id,createdAt,updatedAt,WorkerId
4805,5222,,GCF_001184205,GCF_001184205.1,1,GCA_001184205,GCA_001184205.1,1348163,Desulfocarbo indianensis,representative genome,PRJNA224116,SAMN03571290,LBMP00000000.1,,latest,Scaffold,Major,2015-07-21,ASM118420v1,Indiana University,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/184/205/GCF_001184205.1_ASM118420v1,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfarculales,Desulfarculaceae,Desulfocarbo,Desulfocarbo indianensis,,{},{},3571290,2018-03-28T14:09:28.669Z,2021-03-04T07:05:24.455Z,
4583,4999,,GCF_001293685,GCF_001293685.1,1,GCA_001293685,GCA_001293685.1,1185843,Desulfatitalea tepidiphila,representative genome,PRJNA224116,SAMD00039863,BCAG00000000.1,,latest,Contig,Major,2015-08-31,ASM129368v1,"The Institute of Low Temperature Science, Hokkaido University",ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/293/685/GCF_001293685.1_ASM129368v1,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,Desulfatitalea,Desulfatitalea tepidiphila,,{},{},4092366,2018-03-28T14:09:28.484Z,2021-03-04T06:58:34.814Z,
2163,2538,,GCF_000426225,GCF_000426225.1,1,GCA_000426225,GCA_000426225.1,1304885,Desulforegula conservatrix Mb1Pa,representative genome,PRJNA224116,SAMN02440640,AUEY00000000.1,,latest,Scaffold,Major,2013-07-11,ASM42622v1,DOE Joint Genome Institute,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/426/225/GCF_000426225.1_ASM42622v1,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,Desulforegula,Desulforegula conservatrix,Mb1Pa,{},{},2440640,2018-03-28T14:09:26.752Z,2021-03-04T05:45:58.530Z,
1369,1731,,GCF_000420085,GCF_000420085.1,1,GCA_000420085,GCA_000420085.1,1265505,Desulfospira joergensenii DSM 10085,representative genome,PRJNA224116,SAMN02440566,ATUG00000000.1,,latest,Contig,Major,2013-07-09,ASM42008v1,DOE Joint Genome Institute,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/420/085/GCF_000420085.1_ASM42008v1,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,Desulfospira,Desulfospira joergensenii,DSM 10085,{},{},2440566,2018-03-28T14:09:26.302Z,2021-03-04T05:22:07.913Z,
3519,3922,,GCF_000092205,GCF_000092205.1,1,GCA_000092205,GCA_000092205.1,589865,Desulfurivibrio alkaliphilus AHT 2,representative genome,PRJNA224116,SAMN02598502,,,latest,Complete Genome,Major,2010-05-27,ASM9220v1,US DOE Joint Genome Institute (JGI-PGF),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/092/205/GCF_000092205.1_ASM9220v1,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobulbaceae,Desulfurivibrio,Desulfurivibrio alkaliphilus,AHT 2,{},{},2598502,2018-03-28T14:09:27.725Z,2021-03-04T06:26:45.986Z,
3727,4134,,GCF_000174435,GCF_000174435.1,1,GCA_000174435,GCA_000174435.1,555779,Desulfonatronospira thiodismutans ASO3-1,representative genome,PRJNA224116,SAMN02441800,ACJN00000000.2,,latest,Scaffold,Major,2010-06-17,ASM17443v1,US DOE Joint Genome Institute (JGI-PGF),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/174/435/GCF_000174435.1_ASM17443v1,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfohalobiaceae,Desulfonatronospira,Desulfonatronospira thiodismutans,ASO3-1,{},{},2441800,2018-03-28T14:09:27.860Z,2021-03-04T06:33:02.456Z,
2029,2402,,GCF_000422525,GCF_000422525.1,1,GCA_000422525,GCA_000422525.1,1121434,Halodesulfovibrio aestuarii DSM 10141,representative genome,PRJNA224116,SAMN02441474,AULY00000000.1,,latest,Scaffold,Major,2013-07-11,ASM42252v1,DOE Joint Genome Institute,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/422/525/GCF_000422525.1_ASM42252v1,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Halodesulfovibrio,Halodesulfovibrio aestuarii,DSM 10141,{},{},2441474,2018-03-28T14:09:26.677Z,2021-03-04T05:41:57.237Z,
5348,5773,,GCF_900155525,GCF_900155525.1,1,GCA_900155525,GCA_900155525.1,1903261,Mailhella massiliensis,representative genome,PRJNA224116,SAMEA47265418,FTLM00000000.1,,latest,Scaffold,Major,2017-01-27,Mailhella massiliensis,URMITE,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/155/525/GCF_900155525.1_Mailhella_massiliensis,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Mailhella,Mailhella massiliensis,,{},{},6226260,2018-03-28T14:09:29.105Z,2021-03-04T07:23:31.507Z,
1768,2137,,GCF_000194135,GCF_000194135.1,1,GCA_000194135,GCA_000194135.1,760142,Hippea maritima DSM 10411,representative genome,PRJNA224116,SAMN00713597,,,latest,Complete Genome,Major,2011-03-29,ASM19413v1,US DOE Joint Genome Institute (JGI-PGF),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/194/135/GCF_000194135.1_ASM19413v1,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfurellales,Desulfurellaceae,Hippea,Hippea maritima,DSM 10411,{},{},713597,2018-03-28T14:09:26.525Z,2021-03-04T05:34:12.598Z,
239,529,,GCF_000167355,GCF_000167355.1,1,GCA_000167355,GCA_000167355.1,281689,Desulfuromonas acetoxidans DSM 684,representative genome,PRJNA224116,SAMN02441806,AAEW00000000.2,,latest,Scaffold,Major,2006-05-12,ASM16735v1,DOE Joint Genome Institute,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/167/355/GCF_000167355.1_ASM16735v1,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Desulfuromonadaceae,Desulfuromonas,Desulfuromonas acetoxidans,DSM 684,{},{},2441806,2018-03-28T14:09:25.393Z,2021-03-04T04:46:32.377Z,
2238,2620,,GCF_000022145,GCF_000022145.1,1,GCA_000022145,GCA_000022145.1,455488,Anaeromyxobacter dehalogenans 2CP-1,representative genome,PRJNA224116,SAMN00000050,,,latest,Complete Genome,Major,2009-01-12,ASM2214v1,US DOE Joint Genome Institute (JGI-PGF),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/022/145/GCF_000022145.1_ASM2214v1,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Anaeromyxobacteraceae,Anaeromyxobacter,Anaeromyxobacter dehalogenans,2CP-1,{},{},50,2018-03-28T14:09:26.804Z,2021-03-04T05:48:12.520Z,
